Posted_On,BHK,Rent,Size_,Floor_,Area_Locality,City,Furnishing,Tenant_Preferred,Bathroom,Point_of_Contact
2022-04-29,2,15000,80,3 out of 4,Anand Parbat,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,7500,450,Ground out of 2,Burari,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-08,1,6000,400,Ground out of 1,"Qutub Vihar, Dwarka",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-23,4,100000,300,1 out of 3,Vasant Kunj,Delhi,Unfurnished,Bachelors/Family,4,Contact Owner
2022-05-14,2,12000,700,2 out of 3,Rohini Sector 23,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,10000,600,4 out of 5,"Mohan Garden, Razapur Khurd",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,10000,800,2 out of 3,"Bharthal, Dwarka",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,2,12000,950,2 out of 3,"Chanakya Place, Sitapuri",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-06,2,15000,450,4 out of 4,Shadipur,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-30,1,10000,450,1 out of 3,Radhey Shyam Park,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,12000,68,3 out of 5,Uttam Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-18,2,14500,850,2 out of 4,"Rajpur Khurd Extension, Rajpur",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-29,2,18500,1000,3 out of 4,"Kotla Mubarakpur, South Extension",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-04,1,24000,600,4 out of 4,Rajouri Garden,Delhi,Furnished,Bachelors,1,Contact Agent
2022-05-27,2,11000,65,Ground out of 4,New Ashok Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-19,3,52000,1700,1 out of 1,Vasant Kunj,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-07-06,3,70000,1800,Ground out of 4,Lajpat Nagar 3,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-04,2,12000,1000,3 out of 4,Uttam Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-09,2,22000,900,2 out of 4,Patparganj,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2022-06-10,4,200000,2300,1 out of 1,Shanti Niketan,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-05-01,2,20000,75,1 out of 3,Green Park,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-18,3,45000,200,1 out of 4,Paschim Vihar Block B1,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-23,1,8000,200,2 out of 4,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2022-05-27,1,8000,200,2 out of 4,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2022-05-18,2,9500,450,3 out of 4,Laxmi Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-07-07,2,25000,750,1 out of 4,Karol Bagh,Delhi,Furnished,Bachelors,2,Contact Agent
2022-05-27,2,12000,400,1 out of 4,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2022-06-11,2,24000,84,1 out of 4,Paschim Vihar,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-05,2,27000,90,2 out of 3,Rohini Sector 8,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-04,2,18000,90,2 out of 4,Mansarovar garden,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-20,2,17000,500,1 out of 3,Lajpat Nagar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,15000,75,4 out of 5,Adarsh Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-23,1,13000,512,1 out of 3,Patel Nagar West,Delhi,Furnished,Bachelors/Family,1,Contact Agent
2022-06-11,3,70000,1500,1 out of 3,Vasant Kunj,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-07-09,1,14000,446,2 out of 4,"Amar Colony, Lajpat Nagar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,3,32000,1100,4 out of 5,"Gagan Vihar, Krishna Nagar",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-10,1,4000,125,1 out of 2,Sangam Vihar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-10,3,100000,1800,3 out of 5,Gautam Nagar,Delhi,Furnished,Bachelors/Family,3,Contact Owner
2022-06-16,3,20000,1300,1 out of 4,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-06-20,3,30000,2000,7 out of 10,"Ashoka Enclave Apartment, Dwarka Sector 11",Delhi,Semi-Furnished,Family,2,Contact Owner
2022-06-14,2,150000,1200,2 out of 3,Greater Kailash 1,Delhi,Furnished,Bachelors,2,Contact Owner
2022-06-30,3,19500,125,1 out of 4,Uttam Nagar,Delhi,Unfurnished,Bachelors,2,Contact Owner
2022-05-24,2,18000,730,2 out of 3,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-07,2,25000,160,3 out of 3,Dr Mukherjee Nagar West,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-05,2,18000,1000,Ground out of 2,Janakpuri Block B1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-05,1,10000,450,1 out of 5,Paschim Vihar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,12000,75,2 out of 4,Mehrauli,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-06-18,3,25000,2000,1 out of 3,"Karkardooma, Anand Vihar",Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-06-18,4,40000,2400,4 out of 4,Preet Vihar,Delhi,Unfurnished,Bachelors,3,Contact Agent
2022-06-18,2,30000,1800,Ground out of 2,"Karkardooma, Anand Vihar",Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2022-06-18,3,29000,1800,Ground out of 3,Mausam Vihar,Delhi,Unfurnished,Family,3,Contact Agent
2022-06-18,3,35000,2200,2 out of 4,"Nirman Vihar, Preet Vihar",Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2022-06-18,3,21000,2200,Ground out of 2,Vivek Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-18,3,31000,900,3 out of 4,Surajmal Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-05,2,8000,75,2 out of 4,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,15500,75,2 out of 4,Saket,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-18,3,32000,1800,3 out of 4,"Gagan Vihar, Krishna Nagar",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-18,3,30000,160,2 out of 4,Surajmal Vihar,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-04,4,42000,2700,2 out of 4,"Pushpanjali, Anand Vihar",Delhi,Semi-Furnished,Bachelors,4,Contact Agent
2022-05-23,3,20500,1050,3 out of 4,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Agent
2022-05-09,3,60000,1800,2 out of 3,Sarvodaya Enclave,Delhi,Furnished,Bachelors/Family,3,Contact Owner
2022-05-23,2,95000,2700,1 out of 3,Greater Kailash 2,Delhi,Furnished,Bachelors/Family,2,Contact Agent
2022-05-14,1,16000,499,2 out of 3,Chittaranjan Park Block K,Delhi,Semi-Furnished,Family,1,Contact Owner
2022-05-17,1,8500,450,3 out of 4,Sarita Vihar Pocket M,Delhi,Unfurnished,Bachelors,1,Contact Agent
2022-05-05,1,14000,60,3 out of 4,"Paryavaran Complex, Sainik Farm",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-11,3,140000,2200,Ground out of 3,Defence Colony,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2022-04-29,2,8000,130,Ground out of 3,Raj Nagar 2,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,12500,650,3 out of 4,Chirag Delhi,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,14000,100,3 out of 4,Janakpuri,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,6000,45,2 out of 3,"Devli, Sangam Vihar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,10000,600,2 out of 3,Trilokpuri,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-10,3,15000,800,Ground out of 4,Kadipur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-08,3,8000,1500,1 out of 1,Cherlopalli TIRUPATI,Delhi,Unfurnished,Bachelors/Family,3,Contact Owner
2022-07-07,1,10000,30,1 out of 5,Mahipalpur,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-05-12,1,8500,55,Ground out of 3,Gharoli,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-09,2,25000,900,Ground out of 3,"Nirman Vihar, Preet Vihar",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-22,2,13000,1000,1 out of 2,Bhajanpura,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-27,1,6000,360,1 out of 2,Ghitorni,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-06,1,7000,450,1 out of 4,"Mohan Garden, Razapur Khurd",Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,22000,900,4 out of 5,"Gangaram Vatika, Vishnu Garden",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,2,40000,1100,2 out of 4,"Kailash Colony, Greater Kailash",Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-05-05,2,22000,700,Ground out of 2,Rohini Sector 7,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,4500,400,1 out of 2,Sagar Pur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,15000,950,Ground out of 3,Rohini Sector 4,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-30,3,130000,3000,1 out of 5,Defence Colony,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-06-18,2,23000,950,3 out of 3,Ber Sarai,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-27,3,45000,1100,1 out of 4,Chittaranjan Park,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-29,1,15000,497,3 out of 4,Lajpat Nagar 4,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
2022-04-29,3,13000,100,3 out of 4,"Viswas Park, Matiala",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-05,2,10000,70,1 out of 4,Shakarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-05,2,10000,55,2 out of 4,Dwarka Sector 8,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-05,1,6500,300,4 out of 5,East Of Kailash,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-29,1,7000,400,2 out of 4,Mandawali,Delhi,Unfurnished,Bachelors,1,Contact Owner
2022-05-05,2,7000,500,2 out of 4,Badarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-08,4,17401,650,4 out of 4,Patel Nagar West,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-05-18,1,5500,630,Ground out of 2,Uttam Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,20000,450,1 out of 3,DS 19,Delhi,Unfurnished,Family,1,Contact Owner
2022-04-29,2,7000,500,1 out of 2,Mahipalpur,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-22,5,190000,200,2 out of 2,"Safdarjung Development Area, Hauz Khas",Delhi,Unfurnished,Bachelors,5,Contact Agent
2022-04-29,2,13000,95,1 out of 4,Shahdara,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-02,4,60000,272,Ground out of 4,Model Town,Delhi,Furnished,Bachelors,3,Contact Agent
2022-05-27,2,17000,800,2 out of 4,Rohini Sector 24,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-27,2,16000,50,2 out of 4,"Nirankari Colony, Mukherjee Nagar",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-05,1,9500,400,2 out of 4,"Maidan Garhi, Chhattarpur",Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,5000,450,Ground out of 3,Vikash Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-18,3,27000,1800,2 out of 4,"Jagriti Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-18,3,29000,1800,2 out of 4,"Saini Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-18,3,29000,2000,1 out of 4,Vivek Vihar Phase 1,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-26,4,37000,2700,2 out of 3,"AGCR Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors/Family,4,Contact Agent
2022-07-04,4,36000,2700,2 out of 3,"AGCR Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-26,3,35000,1800,4 out of 4,Surajmal Vihar,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-26,4,42000,2700,2 out of 4,"Pushpanjali, Anand Vihar",Delhi,Semi-Furnished,Bachelors,4,Contact Agent
2022-05-26,3,37000,1800,1 out of 4,Preet Vihar,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-07-04,3,30000,1800,2 out of 3,Surajmal Vihar,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-08,3,20000,1200,2 out of 3,Ghitorni,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-17,1,8500,600,1 out of 4,Chattarpur Extension,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
2022-05-14,1,11000,350,2 out of 5,Sheikh Sarai,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-06-18,2,14000,100,2 out of 4,Dwarka,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,3,55000,1800,1 out of 3,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2022-06-18,2,25000,900,3 out of 4,"Jagriti Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-23,3,20500,1150,3 out of 4,Laxmi Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
2022-05-31,4,28000,1400,2 out of 4,Rohini Sector 24,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-10,1,5000,500,Ground out of 4,Mahavir Enclave Part 1,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-18,4,35000,300,2 out of 4,"AGCR Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-18,3,30000,1800,2 out of 4,"Saini Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-06-16,1,10000,500,3 out of 4,Neb Sarai,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
2022-04-29,1,11000,500,Ground out of 4,Rohini Sector 17,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,17000,80,1 out of 4,Mayur Vihar Phase 1 Extension,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-23,2,35000,1000,2 out of 4,Kalkaji,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2022-06-20,3,30000,1600,6 out of 10,"Highland Tower, Dwarka Sector 12",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-07,4,30000,1800,6 out of 8,Dwarka Sector 22,Delhi,Semi-Furnished,Bachelors/Family,4,Contact Owner
2022-05-27,2,13000,400,Ground out of 4,Rohini Sector 24,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-04-29,2,13000,900,Ground out of 3,Chhattarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-07-07,1,11000,480,4 out of 5,East Of Kailash,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent
2022-05-05,1,13000,180,2 out of 2,Lajpat Nagar 1,Delhi,Unfurnished,Bachelors,1,Contact Owner
2022-07-09,2,33000,1000,1 out of 3,"Munirka Vihar, Munirka",Delhi,Unfurnished,Bachelors,2,Contact Agent
2022-05-23,3,25000,1120,2 out of 3,gg1 vikas puri,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-27,3,70000,1800,2 out of 4,Saket,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-07-02,3,30000,1200,1 out of 3,Vikaspuri,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-21,1,9000,550,1 out of 4,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-06-30,2,14500,1400,3 out of 4,Dilshad Garden,Delhi,Unfurnished,Bachelors,1,Contact Owner
2022-05-27,3,50000,1600,2 out of 4,Vasant Kunj Sector C,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-16,1,20000,650,1 out of 4,Mayur Vihar 1,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-04-29,4,15000,120,Ground out of 2,Rohini Sector 38,Delhi,Furnished,Bachelors/Family,4,Contact Owner
2022-06-02,2,7500,450,1 out of 3,Mahavir Enclave Part 1,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-07,1,13500,520,Ground out of 4,Uttam Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-06-13,1,14000,850,2 out of 4,Paschim Vihar,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
2022-06-24,2,18000,850,1 out of 4,Saket,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2022-05-09,2,14000,585,2 out of 4,Pandav Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-11,3,65000,1600,Ground out of 4,East Of Kailash,Delhi,Furnished,Bachelors/Family,2,Contact Agent
2022-05-05,2,22000,950,2 out of 5,Mayur Vihar Phase 1 Extension,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,4000,120,1 out of 2,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,2,10000,500,3 out of 3,Vinod Nagar East,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-14,1,7500,200,2 out of 4,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2022-05-05,1,17000,550,2 out of 4,Ramesh Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-06,1,18000,650,2 out of 4,Gautam Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-07-07,4,70000,2800,6 out of 10,Delhi estate Apartment,Delhi,Unfurnished,Bachelors,4,Contact Agent
2022-06-30,1,10000,50,3 out of 4,Mahipalpur,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-06-08,2,15000,550,4 out of 4,Dori Walan,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,2,16500,90,4 out of 5,DS 19,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-30,3,100000,2925,1 out of 4,Defence Colony,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
2022-05-28,1,7500,150,4 out of 4,"New Mahavir Nagar, Tilak Nagar",Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-06-26,2,6000,450,1 out of 3,north chajjupur shahdara,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-08,2,18000,750,4 out of 4,Mahavir Enclave Part 1,Delhi,Unfurnished,Bachelors,2,Contact Owner
2022-05-22,2,18000,975,Ground out of 3,Janakpuri,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,3,8000,106,Ground out of 4,Burari,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-05,2,14000,750,4 out of 6,Mehrauli,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2022-05-10,2,11000,80,2 out of 4,"Khanpur, Madangir",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,3,25000,96,2 out of 5,Rohini Sector 11,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,9000,500,1 out of 3,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-05-14,3,47000,1550,Ground out of 3,Vasant Kunj,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-06-07,2,20000,1000,3 out of 3,"Gaurav Apartment, Indraprastha Extension, Patparganj",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-04-29,1,6000,400,2 out of 4,Mehrauli,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,1,5000,450,1 out of 4,Bhajanpura,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-29,2,20000,1000,3 out of 4,"DDA Devdoot Apartment, Vikaspuri",Delhi,Semi-Furnished,Family,1,Contact Owner
2022-04-29,1,10000,450,2 out of 4,"Khirki extension, Malviya Nagar",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,3,15000,100,3 out of 4,Chhattarpur,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-14,2,13500,550,2 out of 4,"Laxmi Nagar District Centre, Laxmi Nagar",Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
2022-05-10,1,5500,400,2 out of 3,Bindapur,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-10,1,14000,60,1 out of 5,"Guru Angad Nagar West, Laxmi Nagar",Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-04-29,4,18000,900,3 out of 5,Subhash Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-04-27,1,20000,700,1 out of 5,Rohini Sector 5,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-28,2,9300,500,2 out of 4,Laxmi Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-14,3,80000,2000,2 out of 4,Safdarjung Enclave,Delhi,Furnished,Bachelors,3,Contact Agent
2022-07-04,2,7500,400,2 out of 3,Aya Nagar,Delhi,Semi-Furnished,Bachelors,1,Contact Owner
2022-06-27,3,30000,1500,1 out of 4,Sarita Vihar Pocket C,Delhi,Unfurnished,Bachelors,2,Contact Agent
2022-04-29,2,13000,70,2 out of 4,"IGNOU Road, Saket",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-01,2,8500,60,2 out of 4,"Indraprastha Extension, Patparganj",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-24,3,44300,200,1 out of 4,Paschim Vihar,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-07-04,2,45000,1650,2 out of 4,Safdarjung Enclave,Delhi,Furnished,Bachelors,2,Contact Agent
2022-06-22,2,30000,1150,3 out of 3,Sarita Vihar Pocket K,Delhi,Unfurnished,Bachelors,2,Contact Agent
2022-05-30,2,40000,1800,Ground out of 3,Saket,Delhi,Furnished,Bachelors,2,Contact Agent
2022-06-11,4,530000,4000,3 out of 4,Anand Niketan,Delhi,Semi-Furnished,Bachelors/Family,5,Contact Agent
2022-05-14,2,12000,900,1 out of 2,Ashok Vihar Phase 2,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-15,2,13500,700,1 out of 2,Shakarpur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-04-28,2,30000,900,2 out of 4,Sheikh Sarai Phase 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-05-03,1,9500,400,2 out of 2,New Delhi,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-05-16,4,200000,2700,Ground out of 3,Greater Kailash 1,Delhi,Unfurnished,Bachelors,4,Contact Agent
2022-05-10,3,30000,2000,Ground out of 2,Rohini Sector 15,Delhi,Unfurnished,Bachelors/Family,3,Contact Owner
2022-05-14,2,9000,450,1 out of 3,"Shakarpur Khas, Shakarpur",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-06-04,2,13000,400,2 out of 4,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent
2022-05-14,2,7000,500,1 out of 5,Vinod Nagar West,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-07-09,1,18000,450,1 out of 4,Munirka,Delhi,Furnished,Bachelors/Family,1,Contact Agent
2022-05-14,1,3500,350,1 out of 3,Najafgarh,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-03,4,65000,272,1 out of 4,Model Town,Delhi,Unfurnished,Bachelors/Family,4,Contact Agent
2022-06-13,1,19000,545,2 out of 3,Dwarka,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-05-10,2,23000,84,Ground out of 4,Paschim Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-16,1,12000,600,2 out of 4,Kalkaji,Delhi,Furnished,Bachelors/Family,1,Contact Owner
2022-06-30,2,15000,75,3 out of 4,Chhattarpur,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-06-08,3,38000,165,2 out of 4,"Dayanand Vihar, Anand Vihar",Delhi,Semi-Furnished,Bachelors,2,Contact Owner
2022-07-04,3,50000,1100,1 out of 4,Shalimar bagh,Delhi,Unfurnished,Bachelors,3,Contact Agent
2022-06-02,1,6500,500,3 out of 3,Falt,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
2022-07-04,3,35000,150,1 out of 3,Janakpuri,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-05,2,15000,70,2 out of 5,Vasant Kunj,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-05,3,30000,250,1 out of 2,Mausam Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-05-05,2,10000,70,1 out of 5,"Khanpur, Madangir",Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2022-07-06,1,18000,300,3 out of 4,"Arjun Nagar, Safdarjung Enclave",Delhi,Semi-Furnished,Bachelors,1,Contact Agent
2022-06-20,3,30000,1800,1 out of 4,Malviya Nagar,Delhi,Semi-Furnished,Bachelors,3,Contact Agent
2022-05-27,1,16000,400,3 out of 4,Lajpat Nagar 4,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
2022-05-21,3,22000,1250,2 out of 3,Cghs apts.,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
2022-06-08,2,9000,480,1 out of 4,Rohini Sector 21,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2022-06-17,2,20200,84,2 out of 4,Paschim Vihar,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
2022-06-15,2,19500,84,2 out of 4,Paschim Vihar Block A6,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
